s,real,imag
99,-7.0,11.0
100,-7.0,1.0
101,-7.0,3.0
102,-7.0,7.0
103,-7.0,5.0
104,-7.0,-15.0
105,-7.0,-13.0
106,-7.0,-9.0
107,-7.0,-11.0
108,-7.0,-1.0
109,-7.0,-3.0
110,-7.0,-7.0
111,-7.0,-5.0
112,-5.0,15.0
113,-5.0,13.0
114,-5.0,9.0
115,-5.0,11.0
116,-5.0,1.0
117,-5.0,3.0
118,-5.0,7.0
119,-5.0,5.0
120,-5.0,-15.0
121,-5.0,-13.0
122,-5.0,-9.0
123,-5.0,-11.0
124,-5.0,-1.0
125,-5.0,-3.0
126,-5.0,-7.0
127,-5.0,-5.0
128,15.0,15.0
129,15.0,13.0
130,15.0,9.0
131,15.0,11.0
132,15.0,1.0
133,15.0,3.0
134,15.0,7.0
135,15.0,5.0
136,15.0,-15.0
137,15.0,-13.0
138,15.0,-9.0
139,15.0,-11.0
140,15.0,-1.0
141,15.0,-3.0
142,15.0,-7.0
143,15.0,-5.0
144,13.0,15.0
145,13.0,13.0
146,13.0,9.0
147,13.0,11.0
148,13.0,1.0
149,13.0,3.0
150,13.0,7.0
151,13.0,5.0
152,13.0,-15.0
153,13.0,-13.0
154,13.0,-9.0
155,13.0,-11.0
156,13.0,-1.0
157,13.0,-3.0
158,13.0,-7.0
159,13.0,-5.0
160,9.0,15.0
161,9.0,13.0
162,9.0,9.0
163,9.0,11.0
164,9.0,1.0
165,9.0,3.0
166,9.0,7.0
167,9.0,5.0
168,9.0,-15.0
169,9.0,-13.0
170,9.0,-9.0
171,9.0,-11.0
172,9.0,-1.0
173,9.0,-3.0
174,9.0,-7.0
175,9.0,-5.0
176,11.0,15.0
177,11.0,13.0
178,11.0,9.0
179,11.0,11.0
180,11.0,1.0
181,11.0,3.0
182,11.0,7.0
183,11.0,5.0
184,11.0,-15.0
185,11.0,-13.0
186,11.0,-9.0
187,11.0,-11.0
188,11.0,-1.0
189,11.0,-3.0
190,11.0,-7.0
191,11.0,-5.0
192,1.0,15.0
193,1.0,13.0
194,1.0,9.0
195,1.0,11.0
196,1.0,1.0
197,1.0,3.0
198,1.0,7.0
199,1.0,5.0
200,1.0,-15.0
201,1.0,-13.0
202,1.0,-9.0
203,1.0,-11.0
204,1.0,-1.0
205,1.0,-3.0
206,1.0,-7.0
207,1.0,-5.0
208,3.0,15.0
209,3.0,13.0
210,3.0,9.0
211,3.0,11.0
212,3.0,1.0
213,3.0,3.0
214,3.0,7.0
215,3.0,5.0
216,3.0,-15.0
217,3.0,-13.0
218,3.0,-9.0
219,3.0,-11.0
220,3.0,-1.0
221,3.0,-3.0
222,3.0,-7.0
223,3.0,-5.0
224,7.0,15.0
225,7.0,13.0
226,7.0,9.0
227,7.0,11.0
228,7.0,1.0
229,7.0,3.0
230,7.0,7.0
231,7.0,5.0
232,7.0,-15.0
233,7.0,-13.0
234,7.0,-9.0
235,7.0,-11.0
236,7.0,-1.0
237,7.0,-3.0
238,7.0,-7.0
239,7.0,-5.0
240,5.0,15.0
241,5.0,13.0
242,5.0,9.0
243,5.0,11.0
244,5.0,1.0
245,5.0,3.0
246,5.0,7.0
247,5.0,5.0
248,5.0,-15.0
249,5.0,-13.0
250,5.0,-9.0
251,5.0,-11.0
252,5.0,-1.0
253,5.0,-3.0
254,5.0,-7.0
255,5.0,-5.0
